Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (â‚¹ Cr)
3-May-23,18113.8,18116.35,18042.4,18089.85,226171254,19079.79
4-May-23,18081,18267.45,18066.7,18255.8,226643581,21889.48
5-May-23,18117.3,18216.95,18055.45,18069,239702311,26152.88
8-May-23,18120.6,18286.95,18100.3,18264.4,228399379,22687.94
9-May-23,18303.4,18344.2,18229.65,18265.95,245368649,23478.06
10-May-23,18313.6,18326.75,18211.95,18315.1,220450874,21416.41
11-May-23,18357.8,18389.7,18270.4,18297,248932544,26440.1
12-May-23,18273.75,18342.75,18194.55,18314.8,241702589,22046.04
15-May-23,18339.3,18458.9,18287.9,18398.85,216088535,19329.75
16-May-23,18432.35,18432.35,18264.35,18286.5,219490491,21063.78
17-May-23,18300.45,18309,18115.35,18181.75,229898510,20903.12
18-May-23,18287.5,18297.2,18104.85,18129.95,272103515,24172.44
19-May-23,18186.15,18218.1,18060.4,18203.4,260898407,22105.67
22-May-23,18201.1,18335.25,18178.85,18314.4,262560942,25147.58
23-May-23,18362.9,18419.75,18324.2,18348,270354216,28648.15
24-May-23,18294.8,18392.6,18262.95,18285.4,232621507,24273.17
25-May-23,18268.9,18338.1,18202.4,18321.15,235915651,22411.41
26-May-23,18368.35,18508.55,18333.15,18499.35,198668359,19094.08
29-May-23,18619.15,18641.2,18581.25,18598.65,265323978,19237.57
30-May-23,18606.65,18662.45,18575.5,18633.85,234391323,21660.69
31-May-23,18594.2,18603.9,18483.85,18534.4,696495765,70755.08
1-Jun-23,18579.4,18580.3,18464.55,18487.75,265630759,24056.99
2-Jun-23,18550.85,18573.7,18478.4,18534.1,270923679,23171.88
5-Jun-23,18612,18640.15,18582.8,18593.85,256111496,20369.16
6-Jun-23,18600.8,18622.75,18531.6,18599,220789926,21957.47
7-Jun-23,18665.6,18738.95,18636,18726.4,260109671,21482.77
8-Jun-23,18725.35,18777.9,18615.6,18634.55,286468927,22762.3
9-Jun-23,18655.9,18676.65,18555.4,18563.4,221760885,20181.42
12-Jun-23,18595.05,18633.6,18559.75,18601.5,179463966,15386.04
13-Jun-23,18631.8,18728.9,18631.8,18716.15,233167883,22612.62
14-Jun-23,18744.6,18769.7,18690,18755.9,261354575,19520.08
15-Jun-23,18774.45,18794.1,18669.05,18688.1,263004991,24820.77
16-Jun-23,18723.3,18864.7,18710.5,18826,272771256,28877.67
19-Jun-23,18873.3,18881.45,18719.15,18755.45,219815214,22699.84
20-Jun-23,18752.35,18839.7,18660.65,18816.7,211649257,19687.08
21-Jun-23,18849.4,18875.9,18794.85,18856.85,217481345,19102.48
22-Jun-23,18853.6,18886.6,18759.5,18771.25,252697871,24990.87
23-Jun-23,18741.85,18756.4,18647.1,18665.5,210562119,20619.6
26-Jun-23,18682.35,18722.05,18646.7,18691.2,171271325,17355.14
27-Jun-23,18748.55,18829.25,18714.25,18817.4,222464605,21415.89
28-Jun-23,18908.15,19011.25,18861.35,18972.1,398782019,37356.94
30-Jun-23,19076.85,19201.7,19024.6,19189.05,247906587,26376.62
3-Jul-23,19246.5,19345.1,19234.4,19322.55,226050219,22681.54
4-Jul-23,19406.6,19434.15,19300,19389,226916635,26634.06
5-Jul-23,19405.95,19421.6,19339.6,19398.5,224418797,24699.24
6-Jul-23,19385.7,19512.2,19373,19497.3,268261285,28540.18
7-Jul-23,19422.8,19523.6,19303.6,19331.8,237102566,23089.25
10-Jul-23,19400.35,19435.85,19327.1,19355.9,268246132,25991.55
11-Jul-23,19427.1,19515.1,19406.45,19439.4,251263638,26883.78
12-Jul-23,19497.45,19507.7,19361.75,19384.3,327941559,40163.14
13-Jul-23,19495.2,19567,19385.8,19413.75,310442517,27244.56
14-Jul-23,19493.45,19595.35,19433.5,19564.5,291165841,25484.44
17-Jul-23,19612.15,19731.85,19562.95,19711.45,268707894,25975.57
18-Jul-23,19787.5,19819.45,19690.2,19749.25,286353897,33269.08
19-Jul-23,19802.95,19851.7,19727.45,19833.15,259660464,26447.9
20-Jul-23,19831.7,19991.85,19758.4,19979.15,274698867,30622.66
21-Jul-23,19800.45,19887.4,19700,19745,312461795,33802.14
24-Jul-23,19748.45,19782.75,19658.3,19672.35,265562151,24522.29
25-Jul-23,19729.35,19729.35,19615.95,19680.6,369653496,29665.67
26-Jul-23,19733.35,19825.6,19716.7,19778.3,244747425,23023.86
27-Jul-23,19850.9,19867.55,19603.55,19659.9,334891351,35019.13
28-Jul-23,19659.75,19695.9,19563.1,19646.05,258671382,22995.98
31-Jul-23,19666.35,19772.75,19597.6,19753.8,295053318,23075.38
1-Aug-23,19784,19795.6,19704.6,19733.55,298048161,24554.71
2-Aug-23,19655.4,19678.25,19423.55,19526.55,290666798,23997.47
3-Aug-23,19463.75,19537.65,19296.45,19381.65,315688612,29899.38
4-Aug-23,19462.8,19538.85,19436.45,19517,280799561,28086.15
7-Aug-23,19576.85,19620.45,19524.8,19597.3,216586074,21655.87
8-Aug-23,19627.2,19634.4,19533.1,19570.85,260294052,25437.47
9-Aug-23,19578.8,19645.5,19467.5,19632.55,266495074,23201.75
10-Aug-23,19605.55,19623.6,19495.4,19543.1,312193785,29430.34
11-Aug-23,19554.25,19557.75,19412.75,19428.3,235524048,24521.24
14-Aug-23,19383.95,19465.85,19257.9,19434.55,243850815,22767.43
16-Aug-23,19369,19482.75,19317.2,19465,226627230,21484.66
17-Aug-23,19450.55,19461.55,19326.25,19365.25,268663456,26505.65
18-Aug-23,19301.75,19373.8,19253.6,19310.15,256142364,25641.41
21-Aug-23,19320.65,19425.95,19296.3,19393.6,262589133,20738.75
22-Aug-23,19417.1,19443.5,19381.3,19396.45,208704354,20226.48
23-Aug-23,19439.2,19472.05,19366.6,19444,225214991,20167.16
24-Aug-23,19535.15,19584.45,19369,19386.7,268256859,24338.24
25-Aug-23,19297.4,19339.55,19229.7,19265.8,466518217,24998.12
28-Aug-23,19298.35,19366.85,19249.7,19306.05,248178769,18237.22
29-Aug-23,19374.85,19377.9,19309.1,19342.65,307388116,22501.12
30-Aug-23,19433.45,19452.8,19334.75,19347.45,233004568,19877.49
31-Aug-23,19375.55,19388.2,19223.65,19253.8,562557215,45699.54
1-Sep-23,19258.15,19458.55,19255.7,19435.3,372502191,25962.38
4-Sep-23,19525.05,19545.15,19432.85,19528.8,396071122,24822.79
5-Sep-23,19564.65,19587.05,19525.75,19574.9,303958622,24029.89
6-Sep-23,19581.2,19636.45,19491.5,19611.05,512974083,32500.52
7-Sep-23,19598.65,19737,19550.05,19727.05,304929822,23591
8-Sep-23,19774.8,19867.15,19728.05,19819.95,288093693,23530.84
11-Sep-23,19890,20008.15,19865.35,19996.35,248763130,21924.34
12-Sep-23,20110.15,20110.35,19914.65,19993.2,328064239,30110.8
13-Sep-23,19989.5,20096.9,19944.1,20070,251394599,24332.36
14-Sep-23,20127.95,20167.65,20043.45,20103.1,275111881,21902.65
15-Sep-23,20156.45,20222.45,20129.7,20192.35,438185104,42681.35
18-Sep-23,20155.95,20195.35,20115.7,20133.3,264870758,21135.95
20-Sep-23,19980.75,20050.65,19878.85,19901.4,378065882,37351.58
21-Sep-23,19840.55,19848.75,19709.95,19742.35,275132260,26711.83
22-Sep-23,19744.85,19798.65,19657.5,19674.25,246410075,24137.57
25-Sep-23,19678.2,19734.15,19601.55,19674.55,188398392,20194.48
26-Sep-23,19682.8,19699.35,19637.45,19664.7,204869058,18118.19
27-Sep-23,19637.05,19730.7,19554,19716.45,203559874,19659.17
28-Sep-23,19761.8,19766.65,19492.1,19523.55,352810261,30069.78
29-Sep-23,19581.2,19726.25,19551.05,19638.3,243508919,20978.72
3-Oct-23,19622.4,19623.2,19479.65,19528.75,221719625,21459.58
4-Oct-23,19446.3,19457.8,19333.6,19436.1,277148310,26017.47
5-Oct-23,19521.85,19576.95,19487.3,19545.75,234865323,22019.04
6-Oct-23,19621.2,19675.75,19589.4,19653.5,159051277,16096.52
9-Oct-23,19539.45,19588.95,19480.5,19512.35,165094800,15499.67
10-Oct-23,19565.6,19717.8,19565.45,19689.85,216559447,18735.62
11-Oct-23,19767,19839.2,19756.95,19811.35,213729730,19900.99
12-Oct-23,19822.7,19843.3,19772.65,19794,217904144,20999.94
13-Oct-23,19654.55,19805.4,19635.3,19751.05,254955979,24363.02
16-Oct-23,19737.25,19781.3,19691.85,19731.75,180964341,14746.01
17-Oct-23,19843.2,19849.75,19775.65,19811.5,185846716,16839.87
18-Oct-23,19820.45,19840.95,19659.95,19671.1,198942937,18581.64
19-Oct-23,19545.2,19681.8,19512.35,19624.7,230312163,23582.01
20-Oct-23,19542.15,19593.8,19518.7,19542.65,198341255,17944.31
23-Oct-23,19521.6,19556.85,19257.85,19281.75,176044288,16212.9
25-Oct-23,19286.45,19347.3,19074.15,19122.15,225291741,19818.32
26-Oct-23,19027.25,19041.7,18837.85,18857.25,300356469,28939.64
27-Oct-23,18928.75,19076.15,18926.65,19047.25,205201044,19947.48
30-Oct-23,19053.4,19158.5,18940,19140.9,180132492,17095.73
31-Oct-23,19232.95,19233.7,19056.45,19079.6,206049341,19397.36
1-Nov-23,19064.05,19096.05,18973.7,18989.15,194103279,18452.51
2-Nov-23,19120,19175.25,19064.15,19133.25,245595109,19771.49
3-Nov-23,19241,19276.25,19210.9,19230.6,189516123,17304.87
6-Nov-23,19345.85,19423,19309.7,19411.75,180690631,16296.56
7-Nov-23,19404.05,19423.5,19329.1,19406.7,198660124,18288.06
8-Nov-23,19449.6,19464.4,19401.5,19443.5,194967997,17060.45
9-Nov-23,19457.4,19463.9,19378.35,19395.3,208418472,19087.29
10-Nov-23,19351.85,19451.3,19329.45,19425.35,152215785,12916.21
12-Nov-23,19547.25,19547.25,19510.25,19525.55,37311902,2482.27
13-Nov-23,19486.75,19494.4,19414.75,19443.55,189275733,13527.22
15-Nov-23,19651.4,19693.2,19579.65,19675.45,291464988,24957.24
16-Nov-23,19674.7,19875.25,19627,19765.2,282686669,26041.45
17-Nov-23,19674.75,19806,19667.45,19731.8,236827462,21681.28
20-Nov-23,19731.15,19756.45,19670.5,19694,173780543,16737.05
21-Nov-23,19770.9,19829.1,19754.05,19783.4,194969012,17947.2
22-Nov-23,19784,19825.55,19703.85,19811.85,184497984,17405.48
23-Nov-23,19828.45,19875.15,19786.75,19802,170024085,15906.94
24-Nov-23,19809.6,19832.85,19768.85,19794.7,145895044,14389.29
28-Nov-23,19844.65,19916.85,19800,19889.7,229595031,23043.25
29-Nov-23,19976.55,20104.65,19956.3,20096.6,236241768,22367.64
30-Nov-23,20108.5,20158.7,20015.85,20133.15,486585349,48877.95
1-Dec-23,20194.1,20291.55,20183.7,20267.9,265812566,22461.53
4-Dec-23,20601.95,20702.65,20507.75,20686.8,381107418,33917.52
5-Dec-23,20808.9,20864.05,20711.15,20855.1,421008350,41763.52
6-Dec-23,20950.75,20961.95,20852.15,20937.7,359212958,35654.76
7-Dec-23,20932.4,20941.25,20850.8,20901.15,274985308,24862.43
8-Dec-23,20934.1,21006.1,20862.7,20969.4,292440768,27449.96
11-Dec-23,20965.3,21026.1,20923.7,20997.1,212921451,21150.17
12-Dec-23,21018.55,21037.9,20867.15,20906.4,244867128,25404.64
13-Dec-23,20929.75,20950,20769.5,20926.35,260269318,25918.44
14-Dec-23,21110.4,21210.9,21074.45,21182.7,334410589,32593.42
15-Dec-23,21287.45,21492.3,21235.3,21456.65,508761756,50114.46
18-Dec-23,21434.8,21482.8,21365.35,21418.65,249668965,23615.28
19-Dec-23,21477.65,21505.05,21337.75,21453.1,249750062,23750.61
20-Dec-23,21543.5,21593,21087.35,21150.15,363886229,30993.12
21-Dec-23,21033.95,21288.35,20976.8,21255.05,277548079,26001.02
22-Dec-23,21295.85,21390.5,21232.45,21349.4,284708918,27709.29
26-Dec-23,21365.2,21477.15,21329.45,21441.35,219467748,20081.33
27-Dec-23,21497.65,21675.75,21495.8,21654.75,256542963,23059.25
28-Dec-23,21715,21801.45,21678,21778.7,393080755,35031
29-Dec-23,21737.65,21770.3,21676.9,21731.4,270922276,23697.88
1-Jan-24,21727.75,21834.35,21680.85,21741.9,153995217,14184.09
2-Jan-24,21751.35,21755.6,21555.65,21665.8,263711568,25316.13
3-Jan-24,21661.1,21677,21500.35,21517.35,311933117,32329.23
4-Jan-24,21605.8,21685.65,21564.55,21658.6,339172697,30868.15
5-Jan-24,21705.75,21749.6,21629.2,21710.8,309303266,26554.49
8-Jan-24,21747.6,21763.95,21492.9,21513,231452935,21140.94
9-Jan-24,21653.6,21724.45,21517.85,21544.85,228568589,24055.74
10-Jan-24,21529.3,21641.85,21448.65,21618.7,216991926,20958.96
11-Jan-24,21688,21726.5,21593.75,21647.2,212453866,23492.12
12-Jan-24,21773.55,21928.25,21715.15,21894.55,294678459,30565.5
15-Jan-24,22053.15,22115.55,21963.55,22097.45,345543523,29523.15
16-Jan-24,22080.5,22124.15,21969.8,22032.3,292433764,24435.94
17-Jan-24,21647.25,21851.5,21550.45,21571.95,455999867,47533.44
18-Jan-24,21414.2,21539.4,21285.55,21462.25,387341268,39718.84
